Date,Open,High,Low,Close,Adj Close,Volume
2014-06-18,12040.000000,12390.000000,12040.000000,12340.000000,11704.725586,655600
2014-06-19,12340.000000,12425.000000,12190.000000,12410.000000,11771.121094,754300
2014-06-20,12440.000000,12525.000000,12255.000000,12515.000000,11870.713867,800200
2014-06-23,12595.000000,12595.000000,12370.000000,12390.000000,11752.150391,459000
2014-06-24,12355.000000,12515.000000,12220.000000,12445.000000,11804.317383,542700
2014-06-25,12305.000000,12365.000000,12195.000000,12210.000000,11581.416992,625200
2014-06-26,12230.000000,12295.000000,12110.000000,12165.000000,11538.733398,402400
2014-06-27,12245.000000,12245.000000,11925.000000,12045.000000,11424.912109,407000
2014-06-30,12045.000000,12185.000000,12020.000000,12125.000000,11500.792969,417100
2014-07-01,12170.000000,12310.000000,12140.000000,12280.000000,11647.813477,526100
2014-07-02,12385.000000,12530.000000,12320.000000,12505.000000,11861.229492,608600
2014-07-03,12660.000000,12875.000000,12555.000000,12765.000000,12107.843750,961100
2014-07-04,12930.000000,13000.000000,12775.000000,12805.000000,12145.787109,555500
2014-07-07,12800.000000,12950.000000,12735.000000,12860.000000,12197.954102,332200
2014-07-08,12760.000000,12825.000000,12640.000000,12645.000000,11994.020508,571300
2014-07-09,12580.000000,12660.000000,12450.000000,12635.000000,11984.537109,477000
2014-07-10,12655.000000,12665.000000,12430.000000,12450.000000,11809.060547,426900
2014-07-11,12285.000000,12350.000000,12170.000000,12255.000000,11624.100586,683100
2014-07-14,12260.000000,12480.000000,12245.000000,12470.000000,11828.031250,365800
2014-07-15,12550.000000,12570.000000,12455.000000,12530.000000,11884.941406,310900
2014-07-16,12700.000000,12745.000000,12600.000000,12635.000000,11984.537109,490400
2014-07-17,12600.000000,12740.000000,12550.000000,12560.000000,11913.398438,319500
2014-07-18,12320.000000,12540.000000,12315.000000,12495.000000,11851.745117,434900
2014-07-22,12660.000000,13050.000000,12660.000000,12925.000000,12259.608398,960000
2014-07-23,13005.000000,13095.000000,12985.000000,13040.000000,12368.687500,494200
2014-07-24,12815.000000,12855.000000,12550.000000,12595.000000,11946.595703,867700
2014-07-25,12565.000000,12755.000000,12505.000000,12730.000000,12074.646484,429600
2014-07-28,12650.000000,12715.000000,12405.000000,12440.000000,11799.574219,580100
